weight
0.3135
0.3110
0.3130
0.3005
0.3050
0.3189
0.3066
0.3105
0.3178
0.3121
0.3212
0.3083
0.3148
0.3142
0.3158
0.3143
0.3240
0.3151
0.3198
0.3211
